species_name,latitude,longitude,location_description,depth_range,,,,
Myrichthys tigrinus,NA,NA,"Bahía Magdalena, southern Baja California to Callao, Peru, including Gulf of California, Islas Galápagos, and Isla del Cocos",surface-60 m,,,,
Myrophis vafer,NA,NA,"San Pedro, southern California to Punta Aguja, Peru, including Gulf of California",surface-46 m,,,,
Ophichthus triserialis,44°58.6’N,124°09’W,"Off Lincoln City, Oregon to Peru, including Gulf of Californi and Islas Galápagos",surface-155 m,,,,
Ophichthus zophochir,NA,NA,"Humboldt Bay, northern California to Arica, northern Chile, including Gulf of California",surface-110 m,,,,
Paraletharchus pacificus,NA,NA,"Gulf of California to Panama, including southern tip of Baja California and Isla del Cocos",intertidal-35 m,,,,
Phaenomonas pinnata,NA,NA,"Gulf of California to Colombia, including southern tip of Baja California and Islas Galápagos",1-50 m,,,,
Quassiremus nothochir,NA,NA,"Gulf of California to Panama, including southern tip of Baja California",1-80 m,,,,
Scytalichthys miurus,NA,NA,"Isla Guadalupe, central Baja California and southern tip of Baja California to Panama, including Islas Galápagos and Isla del Cocos",10-85 m,,,,
Derichthys serpentinus,33°S,NA,Circumglobal; western Pacific Ocean north to northern Japan; southern California to Chile,16-2400 m,,,,
Cynoponticus coniceps,NA,NA,"Southern tip of Baja California to Peru, including Gulf of California",6-100 m,,,,
Avocettina bowersii,19°44’S,NA,"Eastern and central Pacific; Patton Seamount, Gulf of Alaska; San Francisco, northern California to northern Chile",0-4000 m,,,,
Avocettina infans,59°22’N,178°28’W,"Circumglobal, but almost exclusively in Northern Hemisphere; Japan and Russian North-western Pacific; Commander and Aleutian Islands and Gulf of Alaska and northern Bering Sea to Chile, including Gulf of California",surface-4580 m,,,,
Nemichthys larseni,47°56’N,131°26’W,"Eastern North Pacific from between Springfield and Warwick Seamounts to central Mexico, including Gulf of California, to Hawai’i",25-2439 m,,,,
Nemichthys scolopaceus,52°S,NA,"Circumglobal; western Pacific Ocean north to Japan and Russian north-western Pacific; Gulf of Alaska to southern Chile, including Gulf of California",surface-4337 m,,,,
Ariosoma gilberti,27°06’N,114°11’W,"Isla Guadalupe, central Baja California, Bahía Asuncion, southern Baja California to Peru, including Gulf of California, and Islas Galápagos",surface-100 m,,,,
Bathycongrus macrurus,23°00’N; 04°04.5’N,11°15’W; 81°307’W,Cabo San Lucas to Colombia,50–590 m,,,,
Bathycongrus varidens,24°19.8’N,NA,Southern Baja California to Chile,165–935 m,,,,
Chiloconger dentatus,24°11’N; 25°18’N,111°29’W; 49°W,"Punta Tosca, southern Baja California; Sinaloa, 2 miles south of entrance of Bahía Topolobampo, to Colombia",27–247 m,,,,
Gnathophis cinctus,NA,NA,"Santa Rosa Island, southern California to Peru, including Gulf of California, and Islas Galápagos",9-366 m,,,,
Gorgasia punctata,24°46.1’N,112°16’W,"Bahía Santa Maria, southern Baja California to Panama, including Gulf of California",less than 0.3 to 30 m,,,,
Heteroconger canabus,NA,NA,Southern tip of Baja California and south-western corner of Gulf of California to Costa Rica,3-20 m,,,,
Heteroconger digueti,NA,NA,"Islas San Benito, central Baja California; southern tip of Baja California to central Mexico",2-34 m,,,,
Heteroconger pellegrini,NA,NA,"Tip of Baja California to Panama, including Gulf of California",5-30 m,,,,
Paraconger californiensis,NA,NA,"Cabo San Lucas, southern Baja California to Talara, Peru, including southern Gulf of California, Islas Galápagos, and Isla del Cocos",surface to 12–70 m ,,,,
Paraconger similis,23°24.6’N,110°13.8’W,"Todos Santos, southern Baja California and just north of La Playita, Sinaloa, Islas Galápagos, and Islas Revillagigedo",49–150 m ,,,,
Rhynchoconger nitens,NA,NA,"Central Baja California to southern Peru, including Gulf of California",20-307 m,,,,
Xenomystax atrarius,37°31’S,NA,"Vancouver Island, British Columbia; Newport Beach, southern California to central Chile, including Gulf of California and Islas Galápagos",116-1401 m,,,,
Facciolella equatorialis,NA,NA,"Carmel Submarine Canyon, central California to Peru, including Islas Galápagos",64-1000 m,,,,
Venefica ocella,52°00’N; 5°30’N,131°34’W; 131°35’W,"Moresby Island, British Columbia to west coast of central America and near Valparaiso, Chile","1,669–2,580 m",,,,
Venefica procera,45°38.5’N,125°17.5’W,"Atlantic Ocean, Caribbean Sea; western Pacific in Celebes Sea; Oregon central California; southern California","326–2,304 m ",,,,
Venefica tentaculata,54°04’N,134°09’W,"Japan and southern Sea of Okhotsk; Haida Gwaii, British Columbia to Chile","183–2,083 m ",,,,
Serrivomer jesperseni,NA,NA,"Circumglobal; close to Alaska off Dixon Entrance, northern British Columbia to Chile",366-2500 m,,,,
Serrivomer sector,47°25.8’N,NA,Indo Pacific; western Pacific Ocean north to Japan; Washington to northern Chile,"0–4,268 m",,,,
Stemonidium hypomelas,30°50’N,121°48’W,Circumglobal; western Pacific Ocean north to Ryukyu and Ogasawara Islands; as far northwards as northern Baja California,"175–2,100 m",,,,
Cyema atrum,50°33’N,129°14’W,Circumglobal; western Pacific Ocean north to Japan; north end of Vancouver Island to Chile,"100 m or less to 5,100 m ",,,,
Saccopharynx lavenbergi,4°05’N,78°36’W,"Off San Francisco, northern California to Chile","167–3,000 m",,,,
Eurypharynx pelecanoides,23°36’S,71°30’W,Circumglobal; western Pacific Ocean north to Japan and Russian north-western Pacific; Oregon to Chile,"425 to at least 3,000 m",,,,
Anchoa argentivittata,29°32’N,115°12’W,"Central Baja California to Bahía Magdalena, southern Baja California and central-eastern Gulf of California to Peru, including Islas Galápagos",surface to 10 m ,,,,
Anchoa compressa,NA,NA,"Morro Bay, central California to Bahía Magdalena, southern Baja California",intertidal-19 m,,,,
Anchoa curta,NA,NA,"Punta Abreojos, southern Baja California to Puerto Pizarro, Peru, including lower half of Gulf of California",to 10 m,,,,
Anchoa delicatissima,NA,NA,"Marina del Rey, southern California to Bahía Magdalena, southern Baja California",intertidal to 27 m,,,,
Anchoa exigua,28°56’N,114°32’W,"Bahía Playa Maria, central Baja California to southern Gulf of California to Puerto Pizarro, Peru",to 10 m,,,,
Anchoa helleri,NA,NA,"Bahía Magdalena, southern Baja California and into Gulf of California",about 0–4 m ,,,,
Anchoa ischana,NA,NA,"As far northward as Laguna San Ignacio, southern Baja California, and throughout Gulf of California to northern Peru, including Islas Galápagos",1 m - 27 m,,,,
Anchoa lucida,NA,NA,"Laguna San Ignacio, southern Baja California, northern Gulf of California, northern Peru",1 m - 60 m,,,,
Anchoa mundeoloides,27°51'N,115°04.7'W,"Bahía Sebastian de Vizcaino, southern Baja California, Gulf of California, Chiapas, Mexico, possibly Costa Rica",surface - 27 m,,,,
Anchoa nasus,NA,NA,"Bahía Magdalena, southern Baja California, Gulf of California, northern Chile",0 m - 142 m,,,,
Anchoa scofieldi,23°02'N,109°31'W,"La Playita, southern Baja California, Jalisco, Mexico to Ecuador",nearshore,,,,
Anchovia macrolepidota,NA,NA,"Laguna San Ignacio, southern Baja California, northern Gulf of California, Zorritos, Peru",surface - 18 m,,,,
Cetengraulis mysticetus,NA,NA,"Los Angeles, southern California, Gulf of California, Islas Galápagos, Callao, Peru",surface - 38 m,,,,
Engraulis japonicus,NA,NA,"western Pacific Ocean north to south-eastern Kamchatka, one record from Alaska, south of western Aleutian Islands",surface - 150 m,,,,
Engraulis mordax,NA,NA,"Yakutat, eastern Gulf of Alaska, Haida Gwaii, British Columbia to Cabo San Lucas, southern Baja California, Gulf of California",surface - 945 m,,,,
Opisthopterus dovii,NA,NA,"Punta Marquez, southern Baja California, Punta Malpelo, Peru, Gulf of California",intertidal - 37 m,,,,
Pliosteostoma lutipinnis,NA,NA,"southern Baja California, Gulf of California, Colombia",to 50 m,,,,
Alosa sapidissima,NA,NA,"Atlantic Ocean, intentionally introduced to Pacific Ocean, spread to Kamchatka, Russia to south-eastern Bering Sea and Gulf of Alaska, Bahía de Todos Santos, northern Baja California",surface - 250 m,,,,
Clupea pallasii,NA,NA,"Korea and Japan to Arctic Ocean off Alaska to northern Baja California, Arctic Canada as far east as Queen Maud Gulf, scattered populations in Norwegian Barents Sea and Russian White and Pechora Seas",surface to 250 m ,,,,
Dorosoma petenense,NA,NA,"south-eastern United States and south to Belize, introduced to West Coast, off Oregon, San Diego Bay, southern California, Gulf of California",shallow fresh,,,,
Etrumeus acuminatus,NA,NA,"circumglobal, Japan, Monterey Bay, central California to Chile, including Gulf of California and Islas Galápagos",intertidal - 200 m,,,,
Harengula thrissina,NA,NA,"La Jolla, southern California, Callao, Peru, Gulf of California",surface - 7 m,,,,
Lile nigrofasciata,NA,NA,"Bahía Magdalena, southern California and Gulf of California to northern Peru",NA,,,,
Lile stolifera,26°40'N,113°30'W,"Bahía Ballenas, southern Baja California, Puerto Pizarro, Peru, Gulf of California, Islas Galápagos",surface - 3 m,,,,
Opisthonema bulleri,NA,NA,"south-east of Punta Abreojos, southern Baja California, Gulf of California to northern Peru",intertidal - 10 m,,,,
Opisthonema libertate,NA,NA,"Port Hueneme, southern California, Chile, Gulf of California, Islas Galápagos",surface - 70 m,,,,
Opisthonema medirastre,NA,NA,"Redondo Beach, southern California, Huacho, Peru, Gulf of California",surface - 10 m,,,,
Sardinops sagax,NA,NA,"Indo-Pacific, south of Japan to southern Kamchatka and Commander Islands, Cross Sound, south-eastern Alaska to Gulf of California and Islas Galápagos",surface - 982 m,,,,
Chanos chanos,NA,NA,"San Pedro, southern California, Callao, Peru, Islas Galápagos",0 m - 20 m,,,,
Cyprinus carpio,NA,NA,Circumglobal in fresh water; occasionally off British Columbia and in bays such as San Francisco,NA,,,,
Mylocheilus caurinus,NA,NA,British Columbia marine waters and Columbia River Estuary,NA,,,,
Pogonichthys macrolepidotus,NA,NA,"Suisan and San Pablo bays and Carquinez Straits, northern California and also Central Valley Delta region and Sacramento River, California",NA,,,,
Ariopsis guatemalensis,NA,NA,"southern Baja California, mouth of Gulf of California to Costa Rica",0 m - 20 m,,,,
Bagre panamensis,NA,NA,"off Santa Ana River, southern California, Isla Lobos de Tierra, Peru, Gulf of California",0 m - 177 m,,,,
Notarius planiceps,NA,NA,"southern Baja California to Colombia, not in Gulf of California",0 m - 60 m,,,,
Occidentarius platypogon,NA,NA,"Laguna San Ignacio, southern Baja California, northern Peru, Gulf of California",3 m - 107 m,,,,
Argentina sialis,49°04'N,126°23'W,"west coast of Vancouver Island, British Columbia, Gulf of California to about Puerto Vallerta, Mexico, probably northern Peru","11–1,093 m ",,,,
Bathylychnops exilis,21º27’S,NA,"North Pacific and North Atlantic Oceans; Japan to Kuril Islands; British Columbia to at least as far south as Isla Guadalupe, central Baja California; Gulf of California and Chile","151–3,329 m",,,,
Dolichopteryx longipes,36°57'N,122°13'W,"Possibly circumglobal, North Atlantic and Pacific Oceans; central California to Chile","152–2,160 m",,,,
Dolichopteryx parini,NA,NA,"Pacific off Honshu, Japan and Sea of Okhotsk to southern Bering Sea to southern British Columbia","200–2,000 m ",,,,
Dolichopteryx pseudolongipes,NA,NA,"New Caledonia, off San Clemente Island, southern California, Islas Galápagos",310 m - 400 m,,,,
Ioichthys kashkini,NA,NA,Indian Ocean and perhaps off California,to at least 710 m,,,,
Macropinna microstoma,NA,NA,"western North Pacific off northern Japan and Kuril Islands to Bering Sea and Gulf of Alaska to eastern South Pacific west of Islas Juan Fernández, Chile","16–2,150 m",,,,
Opisthoproctus soleatus,32°00'N,124°00'W,"off San Diego, southern California, Chile",300 m - 800 m,,,,
Rhynchohyalus natalensis,NA,NA,"Ogasawara Islands, off San Clemente Island, southern California, off northern Baja California",0 m - 775 m,,,,
Bathylagoides nigrigenys,32°45'N,118°54'W,"Equatorial and tropical waters of Indo-Pacific; southern California, Gulf of California, Chile","surface to 1,095 m",,,,
Bathylagoides wesethi,24°10.9'N; 03°30’S,113°06.9'W; 112°01.5’W,"Oregon, off Bahía Magdalena, southern Baja California, Gulf of California, off Ecuador","25–1,130 m",,,,
Bathylagus pacificus,24°10.9'N; 02°36’N,113°06.9'W; 112°57’W,"southern Japan and Sea of Okhotsk to southern Bering Sea to off Bahía Magdalena, southern Baja California, Gulf of California","150 to 4,100 m",,,,
Leuroglossus schmidti,NA,NA,"Northern Honshu, Japan to Sea of Okhotsk to Bering Sea to southern British Columbia","near surface to 1,800 m ",,,,
Leuroglossus stilbius,NA,NA,"Washington State to Peru, including Gulf of California","surface, 13 m to 3,824 m",,,,
Lipolagus ochotensis,22°27'N,110°59'W,"southern Honshu, Japan, and Sea of Okhotsk to Bering Sea, southeast of Cabo San Lucas, southern Baja California","surface to 4,100 m",,,,
Melanolagus bericoides,NA,NA,"Circumglobal; Western Pacific Ocean north to Japan and Russian north-western Pacific Ocean; Oregon to central California, and at least off Chile","100–3,065 m",,,,
Pseudobathylagus milleri,NA,NA,"Southern Honshu, Japan and southern Sea of Okhotsk, to Bering Sea, to Isla Guadalupe, central Baja California","60 m to 1,299 m",,,,
Microstoma microstoma,NA,NA,subarctic–transitional eastern Pacific to central Baja California,"0–4,145 m",,,,
Nansenia candida,30°00'N,NA,"North Pacific off northern Honshu, Japan and southern Kuril Islands to southern Bering Sea, Gulf of Alaska to northern Baja California, larvae captured as far south as about San Ignacio, southern Baja California","near surface to 2,025 m ",,,,
Nansenia crassa,NA,NA,central California to southern Baja California and eastern tropical Pacific,177 m - 550 m,,,,
Nansenia pelagica,NA,NA,Atlantic and Pacific Oceans; subtropical Pacific between Hawai’i and North America,mesopelagic,,,,
